ID COLLEGE GRADE LC1 LC2 LC3 LC4 LCTOTAL RC1 RC2 RC3 RCTOTAL
419 4 4 14 15 10 12 170 21 11 19 175
420 4 2 13 24 11 10 205 21 6 15 130
421 4 1 14 19 16 6 190 22 8 15 145
422 4 2 14 22 18 8 225 18 5 14 105
423 4 3 11 19 13 12 190 23 9 12 140
424 4 4 13 20 14 7 185 20 8 17 145
425 4 4 11 15 15 11 175 21 7 18 150
426 4 3 9 15 9 11 135 21 8 23 180
427 4 2 8 19 11 6 135 22 6 24 180
428 4 3 10 18 13 7 155 21 11 15 155
429 4 2 14 17 9 8 155 13 9 24 150
430 4 3 13 14 18 8 180 21 9 10 120
431 4 3 14 15 12 10 170 19 10 13 130
432 4 4 11 11 15 12 160 22 5 17 140
433 4 2 11 13 15 9 155 20 6 19 145
434 4 4 10 13 11 4 105 20 7 24 175
435 4 3 10 14 15 9 155 12 8 19 115
436 4 3 11 11 10 11 130 20 8 16 140
437 4 4 12 15 14 5 145 18 1 18 105
438 4 2 14 13 9 7 130 16 11 13 120
439 4 4 9 16 10 7 125 13 7 21 125
440 4 3 13 11 11 7 125 15 5 22 125
441 4 2 10 10 16 7 130 10 7 22 115
442 4 4 13 14 9 6 125 13 7 19 115
443 4 3 9 12 16 6 130 16 6 15 105
501 5 2 15 26 22 11 295 30 15 32 305
502 5 2 14 17 13 14 205 33 12 38 360
503 5 1 16 18 22 9 240 26 9 34 265
504 5 2 17 14 21 11 230 28 9 33 270 
505 5 2 13 20 22 15 265 24 13 24 225
506 5 2 10 20 15 12 200 30 12 28 270
507 5 2 16 19 14 14 230 24 11 25 220
508 5 2 12 17 12 11 175 31 12 27 270
509 5 2 14 22 12 11 210 23 13 25 225
510 5 4 17 15 19 11 225 20 7 27 190 
511 5 3 10 17 16 12 190 21 8 29 210 
512 5 4 13 21 8 8 165 21 12 30 235
513 5 2 9 17 12 10 155 30 9 26 245
514 5 4 14 20 18 11 230 18 6 25 165
515 5 4 11 19 13 11 185 22 7 29 210
516 5 4 14 14 16 11 190 19 10 26 195
517 5 4 14 19 18 9 215 22 5 22 165 
518 5 4 10 17 14 5 145 27 9 26 230
519 5 4 11 14 15 8 155 26 12 21 215
520 5 3 10 17 18 9 185 20 13 17 170
521 5 4 11 7 12 9 110 26 9 27 230
522 5 4 13 18 19 8 205 16 5 21 130
523 5 3 11 13 12 7 130 22 6 28 200
524 5 1 12 17 12 10 170 14 7 26 155
525 5 4 11 15 13 12 170 20 8 18 150
526 5 3 8 14 16 13 170 19 11 15 145
527 5 4 10 17 11 8 145 20 6 23 165
528 5 3 14 12 9 7 125 21 5 24 170
529 5 4 14 12 12 3 120 21 4 19 140
530 5 3 10 13 16 6 140 10 7 20 105 
